,english,french
0,part,partie
1,only,seulement
2,thought,pensais
3,help,aide
4,month,mois
5,brother,frère
6,let,laisser
7,to put,mettre
8,no,aucun
9,leash,laisse
10,each,chaque
11,speak,parlé
12,long time,longtemps
13,hours,heures
14,will,vont
15,any,aucune
16,square,place
17,speak,parle
18,knew,savais
19,Warning,attention
20,here is,voici
21,give,donner
22,type,type
23,body,corps
24,place,endroit
25,find,trouve
26,hand,main
27,side,côté
28,point,point
29,came,venu
30,sorry,pardon
31,in front of,devant
32,beautiful,belle
33,law,droit
34,finally,enfin
35,water,eau
36,Wait,attendez
37,Stop,arrêter
38,Earth,terre
39,end,fin
40,believe,croire
41,sweetheart,chérie
42,large,gros
43,will have,aura
44,to play,jouer
